0 	[Jinnrry/PMail] 请问一下支持IMAP吗？ (Issue #158) 请完整读完README再提问! / Before asking questions, please read theREADME!请问一下支持IMAP吗？&mdash;Reply to this email directly,view it on GitHub, orunsubscribe.You are receiving this because you are subscribed to this thread.Message ID:&lt;Jinnrry/PMail/issues/158@github.com&gt;
2 	公司高层内部通知，各位同事请及时查阅！ 各位同事/领导：具体详细请阅读附件！
1 	您 Steam 愿望单上的 Grand Theft Auto V 正在特卖！ 96您 Steam 愿望单上的 Grand Theft Auto V 正在特卖！您已加入愿望单的 1 款游戏正在特卖！-25%$9.99&nbsp;$7.49 USD特价促销！7 月 25 日 2:00pm -03 截止查看您的愿望单特定价格与优惠有可能随时变动。请查看 Steam 商店页面获知详情。您收到此邮件是因为上述项目在您的 Steam 愿望单中。电子邮件偏好设置您的通信偏好，以便我们向您发送重要的电子邮件。取消订阅|更新我的偏好© Valve CorporationPO Box 1688 Bellevue, WA 98009保留所有权利。所有商标均为其在美国及其他国家/地区的各自持有者所有。在 X（Twitter）上关注我们查看此消息时遇到问题？点击此处
0 	Re: [Jinnrry/PMail] 如果能批量创建账号就完美了 (Issue #152) Reopened#152.&mdash;Reply to this email directly,view it on GitHub, orunsubscribe.You are receiving this because you commented.Message ID:&lt;Jinnrry/PMail/issue/152/issue_event/13500442305@github.com&gt;
0 	[Jinnrry/PMail] read_content.go:37 邮件内容无法读取 SMTP error 552: Maximum message size exceeded (Issue #157) 请完整读完README再提问! / Before asking questions, please read theREADME!请说明问题 / Describe the bugSMTP 发送 Html 邮件，带附件，出现[ac1b1d106694bfa4b87e28651004c3b0][/home/runner/work/PMail/PMail/server/smtp_server/read_content.go:37]邮件内容无法读取SMTP error 552: Maximum message size exceeded如何复现 / To ReproduceSMTP 发送 Html 邮件，带附件你预期的行为 / Expected behavior发送成功贴上你的配置文件 / Program configuration file contents安装成功后默认配置日志信息 / Log2024-07-15 06:26:15CLIENT -&gt; SERVER: EHLO R1DU2024-07-15 06:26:15SERVER -&gt; CLIENT: 250-Hello R1DU250-PIPELINING250-8BITMIME250-ENHANCEDSTATUSCODES250-CHUNKING250-AUTH PLAIN LOGIN250-SIZE 1048576250 LIMITS RCPTMAX=502024-07-15 06:26:15CLIENT -&gt; SERVER: AUTH LOGIN2024-07-15 06:26:15SERVER -&gt; CLIENT: 334 VXNlcmbWU62024-07-15 06:26:15CLIENT -&gt; SERVER: [credentials hidden]2024-07-15 06:26:15SERVER -&gt; CLIENT: 334 UGFzcvcmQ62024-07-15 06:26:15CLIENT -&gt; SERVER: [credentials hidden]2024-07-15 06:26:15SERVER -&gt; CLIENT: 235 2.0.0 Authentication succeeded2024-07-15 06:26:15CLIENT -&gt; SERVER: MAIL FROM:&lt;xxxxxxxxxxxxx&gt;2024-07-15 06:26:15SERVER -&gt; CLIENT: 250 2.0.0 Roger, accepting mail from &lt;xxxxxxxxxxxxx&gt;2024-07-15 06:26:15CLIENT -&gt; SERVER: RCPT TO:&lt;xxxxxxxxxxxxx&gt;2024-07-15 06:26:15SERVER -&gt; CLIENT: 250 2.0.0 I'll make sure &lt;xxxxxxxxxxxxx&gt; gets this2024-07-15 06:26:15CLIENT -&gt; SERVER: DATA2024-07-15 06:26:15SERVER -&gt; CLIENT: 354 Go ahead. End your data with &lt;CR&gt;&lt;LF&gt;.&lt;CR&gt;&lt;LF&gt;2024-07-15 06:26:15CLIENT -&gt; SERVER: Date: Mon, 15 Jul 2024 14:26:14 +0800.........2024-07-15 06:26:15CLIENT -&gt; SERVER: X-Mailer: PHPMailer 6.9.1 (https://github.com/PHPMailer/PHPMailer)2024-07-15 06:26:15CLIENT -&gt; SERVER: MIME-Version: 1.02024-07-15 06:26:15CLIENT -&gt; SERVER: Content-Type: multipart/mixed;2024-07-15 06:26:15CLIENT -&gt; SERVER:boundary="b1=_hEWG6CldpGLPJ6OTBsX0hekqHejwNg"2024-07-15 06:26:15CLIENT -&gt; SERVER:2024-07-15 06:26:15CLIENT -&gt; SERVER: --b1=_hEWG6CldpGLPG4DzyG5glTBsX0hekqHejwNg2024-07-15 06:26:15CLIENT -&gt; SERVER: Content-Type: text/html; charset=utf-82024-07-15 06:26:15CLIENT -&gt; SERVER: Content-Transfer-Encoding: quoted-printable2024-07-15 06:26:15CLIENT -&gt; SERVER:2024-07-15 06:26:15CLIENT -&gt; SERVER: &lt;!DOCTYPE html PUBLIC "-//W3C//DTD XHTML 1.0 Strict//EN" "http://www.w3.org=2024-07-15 06:26:15CLIENT -&gt; SERVER: /TR/xhtml1/DTD/xhtml1-strict.dtd"&gt;=0A&lt;html&gt;=0A&lt;head&gt;=0A&lt;!-- Compiled =.........2024-07-15 06:25:05CLIENT -&gt; SERVER:2024-07-15 06:25:05CLIENT -&gt; SERVER: .2024-07-15 06:25:06SERVER -&gt; CLIENT: 552 5.3.4 Maximum message size exceeded2024-07-15 06:25:06SMTP ERROR: DATA END command failed: 552 5.3.4 Maximum message size exceeded2024-07-15 06:25:06SMTP Error: data not accepted.[2024-07-15 14:25:06]SMTP Error: data not accepted.2024-07-15 06:25:06CLIENT -&gt; SERVER: QUIT2024-07-15 06:25:06SERVER -&gt; CLIENT: 221 2.0.0 Bye&mdash;Reply to this email directly,view it on GitHub, orunsubscribe.You are receiving this because you are subscribed to this thread.Message ID:&lt;Jinnrry/PMail/issues/157@github.com&gt;
2   尊敬的新老顾客 您们好！ 深圳市中泰实业有限公司,本公司国内设有多家公司,现有 发票可优惠对外代开,普通发票(含商品销售、广告、运输、建 筑安装、租凭等)增值税发票。点数较低,还可以根据所开数量 额度的大小来商讨更优惠的点数,可为贵公司节省运作成本。 此信息长期有效,如须进一步洽商！ 联系电话： 13926511055 邮    箱： szxmsha222@tom.com 联 系 人： 林国梁 顺祝商祺！               深圳市中泰实业有限公司
2   特价订全国酒店客房 中旅酒店订房网 http://www.zljdyd.com/免费提供大中华区域内(中国大陆、香港、澳门)酒店近二百个城市3千多家酒店2-7折的超低价客房预订服务. 中旅酒店订房网--实惠、方便、快捷 常见问答： 1、预订是否收费，如何预订？ 预订服务是免费的，根据您的行程或需要，可在网上预订酒店超低价客房（2-7折），提交您的定单后，预订中心会予您确认。所有的预订服务应尽早通知，否则可能造成预订无法顺利进行。 2、可否直接去酒店直接登记入住？ 不可以。为避免酒店客房住满等意外情况，不能未经预订而直接去酒店入住。 3、是否预订就意味着可以入住酒店了? 不可以。必须经过预订中心的电话确认后才表示预订成功。 4、预订后如行程改变、延期、提前离店或取消预订，是否要通知预订中心？ 是的，必须通知预订中心。否则会影响您的权益。 5、预订酒店后，如何交住房款？ 入住酒店时，按2-7折交纳房款给入住的酒店。 中旅酒店订房网 http://www.zljdyd.com/
2   贵公司负责人(经理/财务)您好： 我公司是深圳市东讯实业有限公司，我公司实力雄厚，有着良好的社会关系。 因进项较多现完成不了每月销售额度，每月有一部分普通商品销售发票(国税）、 1.5%、普通发票（地税)(1.5%),优惠代开与合作, 还可以根据贵公司要求代开的数量额度来商讨代开优惠的点数,本公司郑重承诺 以上所用绝对是真票。 如贵公司在发票的真伪方面有任何疑虑或担心可上网查证（先用票后付款） 详情请电:13686411777 联 系 人:梁先生
2   尊敬的企划部、市场部： 您们好！ 在这信息化、数字化爆炸的时代，作为中国农业门户网站的农博网（Http://www.aweb.com.cn），将以诚恳的态度和您建立长期合作、同心、同德、同赢。 我们的诞生就意味着要做大、做强。E化农业是我们的使命。现已拥有五大新闻、十大行业频道（畜牧兽医、特养、饲料、水产、农业机械、种业、果蔬、农资、生物、花卉、）百家农业期刊同盟、千家网店、万家会员，但自感离E化全球农业相差甚远。我们的发展离不开您得支持，作为企业的企划部、市场部等部门，掌管着企业的产品市场营销和推广，品牌的树立。企业需要媒体的宣传，但是往往企业花费了大量的广告费，却得不到相应的回报。主要是企业和媒体之间没有相互融合，真正的俯下身来为企业量体裁衣，实现共赢。今天我们的合作，就是从这里开始，不用您花任何费用，只要您填写您想要的，我们这里都能尽量满足。第一次和企业亲密接触，让我们彼此信任、共同发展！ 为了感谢您对农博网的支持与关注，我们为此推出"农博网大型有奖问卷、广告赠送活动"，"礼品赠送---MP3、U盘、高级礼品"获得零投入、高回报的机会。 您的广告  我的承诺！ 你的心动  我的行动！ 参与办法： 凡是在8-9月之间，认真填写以下问卷的企业均可免费获得农博网行业频道任意形式的广告一个月；个人参加此次活动可免费获得农博网店一个。 （注：企业广告农博网不负责制作、企业制作什么我们上传什么） 此次活动还提供了网上参与方式，即在网上报名答题，详情请登陆www.aweb.com.cn 企业名称：                        职务： 姓名：                            网址： 电话：                            通讯地址： 手机：                            e-mail： 1、您对农业网站有什么看法？认为较好的农业网站有哪些 ？ 2、您是否做过网络广告？在那些网站上做过？效果如何？ 3、您对网络广告有何看法？视频广告您愿意尝试吗？ 4、网络广告比其他媒体有什么优点？您的产品广告更偏重哪些媒体？ 5、您愿意把自己的产品、放到网络广告联盟上吗？（统一位置、格式。20-50家网站） 6、网络广告您希望是产品、还是形象？ 7、您是什么时间认识农博网的？通过什么方式？ 8、您最喜欢农博网哪个频道？不喜欢哪个频道？为什么？ 9、您认为农博网在哪些方面推广不够？哪种方式更有效? 10、您希望您的企业广告以何种形式出现在农博网的什么位置？心理接受价位是多少？ 非常感谢您的参与，请填写完全后传真至010－82856432，我们收到后即刻与您取得联系，确定广告发布事宜。（时间有限、好位置有限！本文档复印有效）
2   尊敬的公司（工厂）经理负责人你好： 我公司是一家多年为外资企业代理进出口业务的公司，现有部分税额，如增值税.普通销售国税发票， 可以向外代开，正常收缴我司税收款：增值税电脑票为7％，普通国税1％，还可以代理代办其它发票， 如：广告.运输，建筑其它服务行业都可以代理代办。我公司因全年为外商代理进出口业务，所开的税额 用海关缴款书在当地税务部门已抵税，等于我司纳税后才开出，正常我司的税收点数比较低。请各公司放心， 我公司都有正当手续。如有希要以上业务的公司（厂家）请向我司主管人员联系。 本公司向所有公司（厂家）承诺先验票后付款，真诚期待与贵公司(厂家)合作。 欢迎来电咨询 深圳协恒实业有限公司 联系人：张永辉 联系电话：13528844970
